location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,risk_level,inspection_year,inspection_month,inspection_day
Semi-Urban,9,1,1,2,251,3,40,0,2024,2,24
Rural,7,8,7,0,793,2,13,1,2024,2,25
Urban,6,3,5,2,383,3,26,1,2024,2,26
Urban,7,4,8,1,634,6,14,1,2024,2,27
Urban,1,9,4,2,581,1,32,1,2024,2,28
Urban,1,4,10,2,393,3,11,1,2024,2,29
Urban,8,10,7,0,641,1,38,2,2024,3,1
Urban,2,5,6,2,475,4,16,1,2024,3,2
Rural,10,7,5,2,107,1,22,0,2024,3,3
Urban,9,4,4,2,39,2,47,0,2024,3,4
Urban,7,1,7,2,33,5,16,0,2024,3,5
Semi-Urban,6,9,5,2,152,2,13,1,2024,3,6
Urban,1,4,5,2,956,3,12,1,2024,3,7
Rural,1,9,1,2,827,4,18,1,2024,3,8
Urban,2,6,2,1,53,3,29,1,2024,3,9
Rural,6,1,5,1,911,6,18,1,2024,3,10
Semi-Urban,6,3,3,2,227,3,46,1,2024,3,11
Urban,2,2,2,2,832,3,2,0,2024,3,12
Urban,1,9,4,1,218,3,2,1,2024,3,13
Rural,10,1,4,2,611,2,3,0,2024,3,14
Semi-Urban,5,9,4,2,602,3,29,1,2024,3,15
Semi-Urban,5,9,4,2,174,4,8,1,2024,3,16
Semi-Urban,2,8,3,1,609,3,11,1,2024,3,17
Urban,6,8,7,2,97,3,12,1,2024,3,18
Urban,9,1,9,2,191,3,32,1,2024,3,19
Urban,2,8,5,2,308,2,4,1,2024,3,20
Rural,10,10,4,2,564,5,9,0,2024,3,21
Semi-Urban,2,3,2,2,831,4,24,1,2024,3,22
Urban,3,7,2,2,807,0,16,1,2024,3,23
Urban,7,1,5,1,898,2,17,1,2024,3,24
Urban,6,1,7,0,439,5,47,2,2024,3,25
Urban,8,10,10,2,26,3,22,1,2024,3,26
Semi-Urban,8,5,10,2,179,1,7,0,2024,3,27
Semi-Urban,6,5,9,2,259,1,10,1,2024,3,28
Rural,10,8,7,1,982,2,29,1,2024,3,29
Semi-Urban,3,7,5,1,442,2,36,1,2024,3,30
Urban,3,8,10,2,555,5,24,2,2024,3,31
Semi-Urban,1,6,10,2,745,3,46,2,2024,4,1
Semi-Urban,7,6,10,1,89,7,14,1,2024,4,2
Semi-Urban,5,2,6,2,899,5,14,1,2024,4,3
Semi-Urban,4,6,3,2,235,3,25,1,2024,4,4
Semi-Urban,10,5,5,2,123,6,46,1,2024,4,5
Semi-Urban,4,3,8,2,746,4,22,1,2024,4,6
Urban,4,6,1,2,73,2,47,1,2024,4,7
Urban,6,8,1,1,825,1,23,1,2024,4,8
Urban,8,9,7,2,349,3,32,1,2024,4,9
Urban,8,1,5,2,867,2,26,0,2024,4,10
Semi-Urban,5,3,5,2,222,4,27,1,2024,4,11
Urban,6,3,1,2,307,6,45,1,2024,4,12
Semi-Urban,4,8,9,2,64,2,12,1,2024,4,13
Rural,9,1,1,2,848,3,19,0,2024,4,14
Urban,8,5,5,1,217,2,19,1,2024,4,15
Urban,10,3,10,2,235,6,34,1,2024,4,16
Semi-Urban,10,2,9,2,500,1,32,1,2024,4,17
Urban,1,8,4,2,328,8,29,1,2024,4,18
Urban,2,3,8,2,915,3,21,1,2024,4,19
Urban,9,7,6,1,454,6,35,1,2024,4,20
Urban,8,1,3,2,351,1,42,0,2024,4,21
Rural,3,6,4,0,715,4,5,1,2024,4,22
Rural,8,3,2,2,46,1,12,0,2024,4,23
Semi-Urban,1,8,1,1,185,0,7,1,2024,4,24
Rural,10,6,8,2,337,0,41,1,2024,4,25
Rural,4,2,1,2,293,4,2,0,2024,4,26
Urban,3,6,1,2,402,4,25,1,2024,4,27
Rural,6,7,4,2,384,4,10,1,2024,4,28
Semi-Urban,7,5,10,1,122,2,38,1,2024,4,29
Rural,4,3,10,1,979,3,44,2,2024,4,30
Rural,7,4,6,2,522,3,6,0,2024,5,1
Urban,9,4,9,2,864,4,27,1,2024,5,2
Urban,2,6,1,2,392,7,35,1,2024,5,3
Urban,3,10,7,1,635,0,10,1,2024,5,4
Urban,5,1,10,2,945,3,9,1,2024,5,5
Rural,3,4,5,2,264,4,20,1,2024,5,6
Rural,8,10,8,2,836,4,37,1,2024,5,7
Urban,10,4,7,1,188,3,35,1,2024,5,8
Semi-Urban,8,10,4,2,647,3,37,1,2024,5,9
Urban,8,1,4,1,672,3,40,1,2024,5,10
Urban,9,9,6,1,437,2,8,1,2024,5,11
Urban,4,4,6,2,375,2,46,1,2024,5,12
Urban,5,7,9,2,497,4,31,1,2024,5,13
Rural,5,3,5,1,144,2,43,1,2024,5,14
Urban,8,10,8,2,556,4,16,1,2024,5,15
Semi-Urban,7,3,5,0,725,4,28,1,2024,5,16
Semi-Urban,9,8,2,2,915,4,6,0,2024,5,17
Urban,8,8,6,2,631,4,32,1,2024,5,18
Rural,2,1,9,0,421,4,28,2,2024,5,19
Rural,10,10,3,2,536,2,11,0,2024,5,20
Urban,4,2,1,2,550,2,42,1,2024,5,21
Semi-Urban,6,8,1,1,701,4,23,1,2024,5,22
Urban,2,1,3,2,805,4,30,1,2024,5,23
Urban,7,8,10,2,273,7,9,1,2024,5,24
Urban,3,8,5,2,140,3,28,1,2024,5,25
Semi-Urban,3,2,3,1,51,2,24,1,2024,5,26
Semi-Urban,2,4,9,1,680,2,28,2,2024,5,27
Urban,8,6,8,2,797,1,24,1,2024,5,28
Urban,6,9,3,1,56,0,15,1,2024,5,29
Rural,1,8,9,1,708,3,39,2,2024,5,30
Urban,1,8,6,2,361,2,33,1,2024,5,31
Urban,7,7,7,2,32,2,47,1,2024,6,1
Semi-Urban,8,9,4,2,202,1,34,1,2024,6,2
Rural,5,2,4,2,676,0,22,0,2024,6,3
Urban,5,3,2,1,284,4,29,1,2024,6,4
Semi-Urban,4,10,5,1,107,1,34,1,2024,6,5
Semi-Urban,6,8,8,2,959,4,42,1,2024,6,6
Urban,6,6,7,2,481,6,47,1,2024,6,7
Semi-Urban,3,10,7,2,65,1,10,1,2024,6,8
Urban,9,9,6,2,411,3,45,1,2024,6,9
Semi-Urban,7,10,3,2,138,2,30,1,2024,6,10
Semi-Urban,1,4,5,2,952,5,11,1,2024,6,11
Semi-Urban,7,8,1,2,550,3,34,1,2024,6,12
Urban,5,10,7,2,466,1,21,1,2024,6,13
Rural,5,3,9,1,751,1,13,1,2024,6,14
Urban,2,3,1,2,961,3,25,1,2024,6,15
Urban,4,8,2,2,764,2,21,1,2024,6,16
Urban,6,5,3,2,625,4,1,0,2024,6,17
Semi-Urban,10,3,3,2,986,5,5,0,2024,6,18
Semi-Urban,7,10,8,2,782,3,22,1,2024,6,19
Urban,5,1,7,2,781,2,7,1,2024,6,20
Semi-Urban,9,3,6,1,813,4,13,1,2024,6,21
Urban,3,9,10,2,763,1,45,2,2024,6,22
Semi-Urban,1,5,10,1,65,4,23,2,2024,6,23
Urban,4,10,4,0,905,2,21,2,2024,6,24
Semi-Urban,9,2,9,1,527,3,6,1,2024,6,25
Urban,4,7,1,2,577,3,20,1,2024,6,26
Rural,2,2,2,0,990,1,12,1,2024,6,27
Urban,10,4,4,2,545,2,40,0,2024,6,28
Urban,5,7,3,2,616,2,9,1,2024,6,29
Urban,3,4,1,1,850,4,28,1,2024,6,30
Rural,9,7,5,2,859,3,11,0,2024,7,1
Rural,4,7,7,2,22,2,32,1,2024,7,2
Urban,6,1,2,2,47,2,11,0,2024,7,3
Semi-Urban,2,6,5,2,400,3,24,1,2024,7,4
Rural,6,9,6,2,176,2,15,1,2024,7,5
Semi-Urban,3,2,7,2,874,3,41,1,2024,7,6
Semi-Urban,9,3,1,0,933,4,35,1,2024,7,7
Urban,2,10,7,0,950,2,17,2,2024,7,8
Urban,9,5,4,1,530,2,25,1,2024,7,9
Rural,5,9,8,2,352,1,35,1,2024,7,10
Rural,8,4,4,2,863,3,19,0,2024,7,11
Semi-Urban,2,1,6,0,706,3,41,2,2024,7,12
Urban,6,4,9,1,133,3,31,1,2024,7,13
Urban,3,6,5,2,408,4,17,1,2024,7,14
Semi-Urban,10,5,4,2,506,3,23,0,2024,7,15
Rural,5,1,8,2,862,2,47,1,2024,7,16
Rural,8,4,9,2,269,3,1,0,2024,7,17
Semi-Urban,10,6,4,2,590,4,10,0,2024,7,18
Semi-Urban,1,10,3,1,734,6,8,2,2024,7,19
Urban,5,10,8,2,334,3,42,1,2024,7,20
Urban,3,4,5,2,258,3,26,1,2024,7,21
Rural,4,9,2,2,253,3,34,1,2024,7,22
Semi-Urban,2,5,10,2,322,3,19,1,2024,7,23
Urban,9,8,9,2,626,5,14,1,2024,7,24
Urban,3,9,3,2,672,4,8,1,2024,7,25
Semi-Urban,2,10,2,2,353,1,1,1,2024,7,26
Urban,10,5,1,1,132,3,48,1,2024,7,27
Urban,9,6,8,2,640,4,25,1,2024,7,28
Semi-Urban,7,1,3,2,381,2,24,0,2024,7,29
Semi-Urban,6,7,7,2,876,2,47,1,2024,7,30
Semi-Urban,1,4,1,1,820,1,20,1,2024,7,31
Urban,5,2,1,2,116,4,30,0,2024,8,1
Semi-Urban,3,5,9,1,977,1,5,1,2024,8,2
Urban,1,3,8,2,866,3,3,1,2024,8,3
Urban,4,6,3,1,35,2,32,1,2024,8,4
Semi-Urban,2,8,6,1,575,0,17,1,2024,8,5
Semi-Urban,2,7,3,2,973,1,42,1,2024,8,6
Rural,3,3,4,2,395,1,5,0,2024,8,7
Semi-Urban,8,8,1,2,761,3,11,0,2024,8,8
Semi-Urban,8,2,5,1,409,3,38,1,2024,8,9
Urban,7,10,1,2,639,4,4,0,2024,8,10
Urban,6,9,1,2,236,3,39,1,2024,8,11
Urban,9,4,10,1,418,3,19,1,2024,8,12
Urban,4,1,7,1,279,4,39,1,2024,8,13
Rural,1,8,6,2,843,4,46,2,2024,8,14
Urban,8,7,2,2,339,3,23,0,2024,8,15
Rural,7,5,2,2,215,1,17,0,2024,8,16
Semi-Urban,7,10,7,2,497,2,13,1,2024,8,17
Semi-Urban,3,5,1,2,437,0,27,1,2024,8,18
Semi-Urban,4,7,2,2,494,3,1,0,2024,8,19
Semi-Urban,10,5,8,2,626,3,2,0,2024,8,20
Semi-Urban,9,8,6,1,587,1,18,1,2024,8,21
Urban,6,6,2,2,563,2,36,1,2024,8,22
Semi-Urban,5,5,7,2,250,4,45,1,2024,8,23
Urban,3,9,4,2,903,2,33,1,2024,8,24
Urban,9,2,2,2,540,5,36,0,2024,8,25
Semi-Urban,5,1,6,2,722,4,2,0,2024,8,26
Urban,5,8,9,2,892,3,4,1,2024,8,27
Rural,4,3,9,1,219,3,16,1,2024,8,28
Rural,4,7,8,2,865,4,4,1,2024,8,29
Rural,1,10,3,2,692,3,9,1,2024,8,30
Urban,7,8,3,0,618,2,21,1,2024,8,31
Urban,9,6,2,2,40,6,23,0,2024,9,1
Rural,3,10,5,1,330,1,2,1,2024,9,2
Urban,2,9,4,2,607,3,3,1,2024,9,3
Rural,3,7,7,1,972,2,23,2,2024,9,4
Rural,1,10,4,2,917,4,26,1,2024,9,5
Rural,6,5,9,1,672,2,47,2,2024,9,6
Urban,7,8,2,1,657,3,7,1,2024,9,7
Urban,2,2,6,2,782,2,36,1,2024,9,8
Rural,8,7,7,2,919,2,44,1,2024,9,9
Urban,6,4,4,1,615,3,33,1,2024,9,10
Urban,4,9,6,2,453,3,36,1,2024,9,11
Semi-Urban,5,1,7,2,390,4,4,0,2024,9,12
Rural,8,7,4,2,579,4,23,1,2024,9,13
Semi-Urban,3,6,8,1,910,2,25,2,2024,9,14
Semi-Urban,3,8,9,2,97,2,41,1,2024,9,15
Urban,4,5,1,2,561,4,26,1,2024,9,16
Semi-Urban,1,1,7,2,304,2,28,1,2024,9,17
Rural,9,1,9,1,667,2,28,1,2024,9,18
Urban,8,9,10,0,159,8,21,2,2024,9,19
Semi-Urban,8,10,5,0,572,3,10,1,2024,9,20
Rural,10,6,2,2,301,3,27,0,2024,9,21
Semi-Urban,6,10,10,1,581,4,15,2,2024,9,22
Semi-Urban,7,5,6,2,277,1,17,0,2024,9,23
Semi-Urban,6,1,7,2,842,4,39,1,2024,9,24
Urban,9,6,2,2,379,4,35,0,2024,9,25
Urban,3,6,2,2,459,4,5,1,2024,9,26
Rural,3,3,10,0,289,3,16,2,2024,9,27
Rural,3,8,10,2,153,3,23,1,2024,9,28
Rural,10,1,1,2,765,2,39,0,2024,9,29
Rural,3,1,4,1,659,2,48,1,2024,9,30
Semi-Urban,9,6,7,1,123,2,9,1,2024,10,1
Semi-Urban,4,10,9,2,785,2,33,2,2024,10,2
Semi-Urban,7,1,3,2,114,3,35,0,2024,10,3
Semi-Urban,9,6,7,1,868,0,40,1,2024,10,4
Semi-Urban,7,1,7,2,748,4,24,1,2024,10,5
Semi-Urban,9,6,7,2,592,3,24,1,2024,10,6
Rural,3,3,2,2,499,6,24,1,2024,10,7
Urban,4,8,6,2,799,4,19,1,2024,10,8
Urban,8,6,2,1,260,1,39,1,2024,10,9
Urban,6,1,6,2,32,4,25,0,2024,10,10
Semi-Urban,5,5,10,2,166,6,31,1,2024,10,11
Urban,4,8,3,2,959,3,38,1,2024,10,12
Semi-Urban,8,3,2,2,771,2,25,0,2024,10,13
Semi-Urban,1,6,6,2,620,1,27,1,2024,10,14
Urban,9,5,2,2,114,4,32,0,2024,10,15
Semi-Urban,1,6,5,2,846,4,11,1,2024,10,16
Urban,8,10,2,2,312,3,5,0,2024,10,17
Urban,4,1,3,2,44,2,44,1,2024,10,18
Rural,9,7,3,2,291,4,33,0,2024,10,19
Urban,5,9,6,2,524,6,19,1,2024,10,20
Urban,3,2,6,2,185,3,43,1,2024,10,21
Semi-Urban,9,10,10,0,958,2,47,2,2024,10,22
Semi-Urban,9,5,3,2,781,5,16,0,2024,10,23
Urban,4,10,3,2,106,1,35,1,2024,10,24
Semi-Urban,4,4,1,2,673,1,11,0,2024,10,25
Urban,8,6,7,0,665,1,11,1,2024,10,26
Urban,2,6,8,2,810,1,10,1,2024,10,27
Semi-Urban,9,2,2,1,657,2,34,1,2024,10,28
Semi-Urban,6,2,4,2,847,3,5,0,2024,10,29
Semi-Urban,9,4,10,0,510,1,23,1,2024,10,30
Semi-Urban,8,1,7,1,927,1,25,1,2024,10,31
Rural,7,9,8,2,160,2,29,1,2024,11,1
Semi-Urban,1,7,1,2,887,3,40,1,2024,11,2
Urban,3,7,4,2,122,5,13,1,2024,11,3
Semi-Urban,2,3,6,2,245,4,47,1,2024,11,4
Urban,5,3,3,2,921,3,32,1,2024,11,5
Urban,5,1,5,2,594,1,34,1,2024,11,6
Urban,5,3,10,2,313,2,12,1,2024,11,7
Urban,4,3,9,2,915,0,24,1,2024,11,8
Rural,5,4,3,2,325,2,40,1,2024,11,9
Rural,3,4,5,2,273,2,21,1,2024,11,10
Semi-Urban,1,3,8,2,199,5,29,1,2024,11,11
Urban,5,10,6,0,59,3,23,2,2024,11,12
Urban,9,8,4,2,795,2,33,1,2024,11,13
Urban,9,8,8,1,720,4,8,1,2024,11,14
Urban,4,1,3,2,539,5,42,1,2024,11,15
Semi-Urban,3,7,3,2,635,3,13,1,2024,11,16
Semi-Urban,1,2,4,2,756,2,5,1,2024,11,17
Semi-Urban,2,1,9,2,565,0,41,1,2024,11,18
Urban,8,3,5,1,255,3,10,0,2024,11,19
Rural,1,4,8,2,482,1,14,1,2024,11,20
Semi-Urban,8,6,6,2,247,6,24,1,2024,11,21
Semi-Urban,7,10,3,0,719,4,11,1,2024,11,22
Semi-Urban,8,5,8,2,844,3,46,1,2024,11,23
Urban,6,4,9,0,502,7,3,1,2024,11,24
Urban,9,8,8,0,449,4,29,2,2024,11,25
Urban,3,4,4,2,41,3,48,1,2024,11,26
Semi-Urban,10,10,6,2,362,1,30,1,2024,11,27
Urban,4,2,1,2,59,2,37,0,2024,11,28
Urban,6,3,4,2,192,1,7,0,2024,11,29
Urban,8,6,8,2,458,4,17,1,2024,11,30
Urban,5,8,1,0,198,2,20,1,2024,12,1
Rural,3,8,3,1,617,1,11,1,2024,12,2
Semi-Urban,6,9,1,2,152,2,44,1,2024,12,3
Semi-Urban,4,7,9,2,370,1,25,1,2024,12,4
Urban,9,2,2,2,544,3,24,0,2024,12,5
Semi-Urban,3,8,9,2,559,1,2,1,2024,12,6
Semi-Urban,4,7,4,1,525,3,27,1,2024,12,7
Urban,7,8,2,2,103,3,19,0,2024,12,8
Urban,7,3,4,2,483,1,29,0,2024,12,9
Urban,4,7,10,2,849,2,37,2,2024,12,10
Semi-Urban,6,10,6,1,880,3,11,1,2024,12,11
Semi-Urban,3,9,7,2,362,6,19,1,2024,12,12
Urban,6,3,3,1,299,3,28,1,2024,12,13
Urban,2,10,3,2,885,5,39,2,2024,12,14
Semi-Urban,8,6,10,1,282,1,21,1,2024,12,15
Semi-Urban,2,2,8,2,185,2,26,1,2024,12,16
Rural,7,2,5,2,312,3,22,0,2024,12,17
Semi-Urban,9,5,4,1,528,3,6,0,2024,12,18
Urban,1,5,7,2,599,1,11,1,2024,12,19
Urban,8,7,7,2,245,3,14,1,2024,12,20
Semi-Urban,7,2,9,2,189,3,36,1,2024,12,21
Urban,6,7,9,1,617,1,40,2,2024,12,22
Semi-Urban,6,5,5,0,664,3,41,2,2024,12,23
Rural,6,6,8,2,467,2,2,1,2024,12,24
Semi-Urban,9,8,10,2,709,4,43,1,2024,12,25
Urban,2,10,1,1,874,4,20,1,2024,12,26
Semi-Urban,1,4,9,2,521,3,22,1,2024,12,27
Semi-Urban,6,7,8,0,783,4,39,2,2024,12,28
Semi-Urban,10,6,6,2,546,5,4,0,2024,12,29
Rural,8,10,3,0,754,3,29,1,2024,12,30
Urban,3,2,3,1,398,2,46,1,2024,12,31
Rural,10,8,8,1,220,6,24,1,2025,1,1
Rural,1,10,5,2,638,2,1,1,2025,1,2
Urban,9,9,10,2,269,2,24,1,2025,1,3
Urban,1,5,7,2,968,4,30,2,2025,1,4
Urban,3,10,5,2,428,1,12,1,2025,1,5
Urban,8,4,8,2,620,0,19,1,2025,1,6
Urban,3,6,10,2,144,4,37,1,2025,1,7
Semi-Urban,4,8,10,1,132,4,40,2,2025,1,8
Urban,8,3,4,2,1000,2,43,1,2025,1,9
Urban,1,10,2,2,156,0,4,1,2025,1,10
Rural,6,1,3,2,778,3,15,0,2025,1,11
Urban,1,4,8,2,515,6,20,1,2025,1,12
Rural,1,4,7,2,697,4,44,2,2025,1,13
Urban,8,1,2,2,169,3,20,0,2025,1,14
Urban,4,9,6,1,894,1,21,1,2025,1,15
Semi-Urban,1,3,9,2,362,4,10,1,2025,1,16
Semi-Urban,10,5,4,2,964,4,30,1,2025,1,17
Rural,7,6,9,2,599,2,24,1,2025,1,18
Semi-Urban,5,8,2,1,752,7,48,2,2025,1,19
Rural,5,6,2,2,802,2,40,1,2025,1,20
Urban,1,3,9,1,340,4,40,2,2025,1,21
Urban,10,6,7,2,841,1,38,1,2025,1,22
Semi-Urban,6,1,7,1,945,3,3,1,2025,1,23
Rural,9,4,1,2,880,0,29,0,2025,1,24
Rural,9,6,6,2,551,1,8,0,2025,1,25
Urban,8,7,7,2,308,3,29,1,2025,1,26
Urban,5,10,6,2,508,2,10,1,2025,1,27
Semi-Urban,1,3,6,2,511,2,5,1,2025,1,28
Urban,9,9,2,1,631,2,11,1,2025,1,29
Rural,1,7,6,2,271,4,4,1,2025,1,30
Rural,8,1,4,0,96,2,35,1,2025,1,31
Urban,5,2,9,1,666,3,40,1,2025,2,1
Semi-Urban,3,1,1,2,411,4,12,0,2025,2,2
Semi-Urban,7,9,8,1,431,3,21,1,2025,2,3
Urban,7,9,5,2,192,5,16,1,2025,2,4
Rural,9,7,1,2,894,1,14,0,2025,2,5
Semi-Urban,7,10,4,0,220,6,21,1,2025,2,6
Rural,3,3,1,2,236,3,48,1,2025,2,7
Urban,1,5,6,2,395,4,27,1,2025,2,8
Rural,8,4,2,2,739,4,36,1,2025,2,9
Urban,3,7,5,2,605,4,1,1,2025,2,10
Urban,8,9,7,0,30,2,1,1,2025,2,11
Rural,8,2,2,2,818,6,22,0,2025,2,12
Urban,5,8,6,2,787,1,15,1,2025,2,13
Urban,1,9,6,2,31,6,20,1,2025,2,14
Rural,10,10,5,2,911,3,3,0,2025,2,15
Rural,7,10,5,2,609,3,14,1,2025,2,16
Semi-Urban,10,9,3,2,454,2,9,0,2025,2,17
Semi-Urban,5,10,10,2,703,3,19,1,2025,2,18
Urban,8,7,10,2,627,5,40,1,2025,2,19
Urban,9,9,2,0,837,4,34,1,2025,2,20
Urban,7,9,7,2,392,4,4,1,2025,2,21
Semi-Urban,7,3,1,1,292,2,33,1,2025,2,22
Semi-Urban,1,4,6,1,950,4,43,2,2025,2,23
Semi-Urban,4,2,6,1,916,5,37,1,2025,2,24
Semi-Urban,2,10,3,1,944,3,2,1,2025,2,25
Urban,2,3,2,2,710,5,27,1,2025,2,26
Semi-Urban,2,5,2,2,595,1,45,1,2025,2,27
Urban,4,5,9,2,528,4,17,1,2025,2,28
Semi-Urban,1,6,5,2,151,3,31,1,2025,3,1
Urban,4,7,7,1,874,6,41,2,2025,3,2
Rural,2,7,5,2,943,4,6,1,2025,3,3
Urban,5,1,7,1,803,3,31,1,2025,3,4
Urban,3,2,4,2,338,2,3,0,2025,3,5
Urban,8,9,8,0,863,3,40,2,2025,3,6
Semi-Urban,4,10,10,2,968,3,3,1,2025,3,7
Semi-Urban,1,2,10,2,872,1,33,1,2025,3,8
Urban,1,6,7,2,640,2,13,1,2025,3,9
Urban,10,1,10,1,804,3,21,1,2025,3,10
Semi-Urban,3,3,5,2,187,4,37,1,2025,3,11
Urban,9,2,6,0,416,3,16,1,2025,3,12
Rural,7,3,5,0,199,1,21,1,2025,3,13
Semi-Urban,2,5,7,1,77,1,48,2,2025,3,14
Urban,9,10,2,2,499,1,44,1,2025,3,15
Urban,10,6,5,1,952,4,13,1,2025,3,16
Rural,2,9,10,1,610,2,4,2,2025,3,17
Urban,3,10,3,2,479,4,31,1,2025,3,18
Urban,10,4,9,2,80,2,9,0,2025,3,19
Rural,2,7,6,2,388,3,48,1,2025,3,20
Rural,3,6,10,2,140,5,33,1,2025,3,21
Rural,6,2,3,2,738,4,37,1,2025,3,22
Semi-Urban,9,10,7,0,565,3,37,2,2025,3,23
Urban,9,8,4,2,601,1,24,0,2025,3,24
Urban,7,7,3,2,36,4,25,0,2025,3,25
Semi-Urban,3,7,8,0,515,4,41,2,2025,3,26
Semi-Urban,4,8,4,2,516,3,29,1,2025,3,27
Urban,6,1,1,1,524,4,40,1,2025,3,28
Rural,5,1,6,2,551,4,47,1,2025,3,29
Urban,2,8,10,2,988,3,36,2,2025,3,30
Semi-Urban,6,4,1,2,334,1,15,0,2025,3,31
Urban,3,5,5,2,88,1,45,1,2025,4,1
Semi-Urban,8,8,7,2,746,4,18,1,2025,4,2
Urban,2,5,6,1,180,4,20,1,2025,4,3
Urban,1,10,2,2,633,3,5,1,2025,4,4
Urban,9,4,4,1,907,2,18,1,2025,4,5
Semi-Urban,3,6,2,2,737,3,40,1,2025,4,6
Semi-Urban,1,5,1,2,164,3,1,0,2025,4,7
Semi-Urban,7,7,3,2,588,4,19,1,2025,4,8
Rural,10,10,3,2,614,3,23,0,2025,4,9
Urban,5,7,7,1,404,0,26,1,2025,4,10
Urban,5,4,1,0,288,5,29,1,2025,4,11
Rural,1,5,9,1,942,2,34,2,2025,4,12
Urban,9,3,6,2,473,2,19,0,2025,4,13
Rural,7,4,4,2,718,3,48,1,2025,4,14
Urban,8,4,3,2,537,2,18,0,2025,4,15
Rural,9,3,3,1,884,2,2,0,2025,4,16
Urban,6,10,2,2,369,2,27,1,2025,4,17
Rural,5,5,2,2,129,1,6,0,2025,4,18
Semi-Urban,6,5,10,2,502,3,39,1,2025,4,19
Rural,2,7,5,2,426,4,6,1,2025,4,20
Urban,4,4,9,2,669,1,6,1,2025,4,21
Semi-Urban,3,4,2,2,70,2,31,1,2025,4,22
Rural,7,9,2,1,422,3,41,1,2025,4,23
Semi-Urban,9,6,6,0,582,2,40,1,2025,4,24
Semi-Urban,5,4,10,2,495,4,30,1,2025,4,25
Semi-Urban,6,2,2,2,106,0,21,0,2025,4,26
Semi-Urban,10,6,4,2,87,4,41,0,2025,4,27
Semi-Urban,2,2,6,0,615,2,44,2,2025,4,28
Semi-Urban,3,5,5,0,998,7,18,2,2025,4,29
Rural,3,6,1,0,61,4,23,1,2025,4,30
Urban,9,4,6,1,750,2,38,1,2025,5,1
Urban,7,3,1,2,76,2,23,0,2025,5,2
