water_availability,cleanliness_score,waste_level,hours_since_cleaning,odor_score,footfall,complaints,location_Urban,inspection_day,inspection_year,inspection_month,location_Semi-Urban,risk_level
1,5,8,41,2,292,3,False,4,2024,2,False,1
2,2,7,17,7,179,3,False,5,2024,2,False,1
2,5,8,3,8,889,5,True,6,2024,2,False,1
2,3,3,13,8,781,2,True,7,2024,2,False,1
2,7,2,44,10,243,4,False,8,2024,2,True,1
2,10,7,48,7,275,3,True,9,2024,2,False,1
1,5,8,36,5,199,5,True,10,2024,2,False,1
2,8,1,18,1,39,4,False,11,2024,2,True,0
2,1,10,23,9,643,4,True,12,2024,2,False,2
2,3,9,35,7,651,2,False,13,2024,2,False,1
0,3,4,33,2,725,4,True,14,2024,2,False,2
2,9,4,36,6,487,5,False,15,2024,2,True,1
1,5,3,17,2,642,3,True,16,2024,2,False,1
1,9,6,39,1,229,0,False,17,2024,2,True,1
0,9,1,34,7,532,3,False,18,2024,2,True,1
1,1,6,12,2,77,6,True,19,2024,2,False,1
1,2,2,5,2,112,5,False,20,2024,2,False,1
2,5,9,48,5,240,3,False,21,2024,2,True,1
2,4,2,40,5,742,1,False,22,2024,2,False,1
2,10,7,27,7,959,6,False,23,2024,2,False,1
2,9,1,40,1,251,3,False,24,2024,2,True,0
0,7,7,13,8,793,2,False,25,2024,2,False,1
2,6,5,26,3,383,3,True,26,2024,2,False,1
1,7,8,14,4,634,6,True,27,2024,2,False,1
2,1,4,32,9,581,1,True,28,2024,2,False,1
2,1,10,11,4,393,3,True,29,2024,2,False,1
0,8,7,38,10,641,1,True,1,2024,3,False,2
2,2,6,16,5,475,4,True,2,2024,3,False,1
2,10,5,22,7,107,1,False,3,2024,3,False,0
2,9,4,47,4,39,2,True,4,2024,3,False,0
2,7,7,16,1,33,5,True,5,2024,3,False,0
2,6,5,13,9,152,2,False,6,2024,3,True,1
2,1,5,12,4,956,3,True,7,2024,3,False,1
2,1,1,18,9,827,4,False,8,2024,3,False,1
1,2,2,29,6,53,3,True,9,2024,3,False,1
1,6,5,18,1,911,6,False,10,2024,3,False,1
2,6,3,46,3,227,3,False,11,2024,3,True,1
2,2,2,2,2,832,3,True,12,2024,3,False,0
1,1,4,2,9,218,3,True,13,2024,3,False,1
2,10,4,3,1,611,2,False,14,2024,3,False,0
2,5,4,29,9,602,3,False,15,2024,3,True,1
2,5,4,8,9,174,4,False,16,2024,3,True,1
1,2,3,11,8,609,3,False,17,2024,3,True,1
2,6,7,12,8,97,3,True,18,2024,3,False,1
2,9,9,32,1,191,3,True,19,2024,3,False,1
2,2,5,4,8,308,2,True,20,2024,3,False,1
2,10,4,9,10,564,5,False,21,2024,3,False,0
2,2,2,24,3,831,4,False,22,2024,3,True,1
2,3,2,16,7,807,0,True,23,2024,3,False,1
1,7,5,17,1,898,2,True,24,2024,3,False,1
0,6,7,47,1,439,5,True,25,2024,3,False,2
2,8,10,22,10,26,3,True,26,2024,3,False,1
2,8,10,7,5,179,1,False,27,2024,3,True,0
2,6,9,10,5,259,1,False,28,2024,3,True,1
1,10,7,29,8,982,2,False,29,2024,3,False,1
1,3,5,36,7,442,2,False,30,2024,3,True,1
2,3,10,24,8,555,5,True,31,2024,3,False,2
2,1,10,46,6,745,3,False,1,2024,4,True,2
1,7,10,14,6,89,7,False,2,2024,4,True,1
2,5,6,14,2,899,5,False,3,2024,4,True,1
2,4,3,25,6,235,3,False,4,2024,4,True,1
2,10,5,46,5,123,6,False,5,2024,4,True,1
2,4,8,22,3,746,4,False,6,2024,4,True,1
2,4,1,47,6,73,2,True,7,2024,4,False,1
1,6,1,23,8,825,1,True,8,2024,4,False,1
2,8,7,32,9,349,3,True,9,2024,4,False,1
2,8,5,26,1,867,2,True,10,2024,4,False,0
2,5,5,27,3,222,4,False,11,2024,4,True,1
2,6,1,45,3,307,6,True,12,2024,4,False,1
2,4,9,12,8,64,2,False,13,2024,4,True,1
2,9,1,19,1,848,3,False,14,2024,4,False,0
1,8,5,19,5,217,2,True,15,2024,4,False,1
2,10,10,34,3,235,6,True,16,2024,4,False,1
2,10,9,32,2,500,1,False,17,2024,4,True,1
2,1,4,29,8,328,8,True,18,2024,4,False,1
2,2,8,21,3,915,3,True,19,2024,4,False,1
1,9,6,35,7,454,6,True,20,2024,4,False,1
2,8,3,42,1,351,1,True,21,2024,4,False,0
0,3,4,5,6,715,4,False,22,2024,4,False,1
2,8,2,12,3,46,1,False,23,2024,4,False,0
1,1,1,7,8,185,0,False,24,2024,4,True,1
2,10,8,41,6,337,0,False,25,2024,4,False,1
2,4,1,2,2,293,4,False,26,2024,4,False,0
2,3,1,25,6,402,4,True,27,2024,4,False,1
2,6,4,10,7,384,4,False,28,2024,4,False,1
1,7,10,38,5,122,2,False,29,2024,4,True,1
1,4,10,44,3,979,3,False,30,2024,4,False,2
2,7,6,6,4,522,3,False,1,2024,5,False,0
2,9,9,27,4,864,4,True,2,2024,5,False,1
2,2,1,35,6,392,7,True,3,2024,5,False,1
1,3,7,10,10,635,0,True,4,2024,5,False,1
2,5,10,9,1,945,3,True,5,2024,5,False,1
2,3,5,20,4,264,4,False,6,2024,5,False,1
2,8,8,37,10,836,4,False,7,2024,5,False,1
1,10,7,35,4,188,3,True,8,2024,5,False,1
2,8,4,37,10,647,3,False,9,2024,5,True,1
1,8,4,40,1,672,3,True,10,2024,5,False,1
1,9,6,8,9,437,2,True,11,2024,5,False,1
2,4,6,46,4,375,2,True,12,2024,5,False,1
2,5,9,31,7,497,4,True,13,2024,5,False,1
1,5,5,43,3,144,2,False,14,2024,5,False,1
2,8,8,16,10,556,4,True,15,2024,5,False,1
0,7,5,28,3,725,4,False,16,2024,5,True,1
2,9,2,6,8,915,4,False,17,2024,5,True,0
2,8,6,32,8,631,4,True,18,2024,5,False,1
0,2,9,28,1,421,4,False,19,2024,5,False,2
2,10,3,11,10,536,2,False,20,2024,5,False,0
2,4,1,42,2,550,2,True,21,2024,5,False,1
1,6,1,23,8,701,4,False,22,2024,5,True,1
2,2,3,30,1,805,4,True,23,2024,5,False,1
2,7,10,9,8,273,7,True,24,2024,5,False,1
2,3,5,28,8,140,3,True,25,2024,5,False,1
1,3,3,24,2,51,2,False,26,2024,5,True,1
1,2,9,28,4,680,2,False,27,2024,5,True,2
2,8,8,24,6,797,1,True,28,2024,5,False,1
1,6,3,15,9,56,0,True,29,2024,5,False,1
1,1,9,39,8,708,3,False,30,2024,5,False,2
2,1,6,33,8,361,2,True,31,2024,5,False,1
2,7,7,47,7,32,2,True,1,2024,6,False,1
2,8,4,34,9,202,1,False,2,2024,6,True,1
2,5,4,22,2,676,0,False,3,2024,6,False,0
1,5,2,29,3,284,4,True,4,2024,6,False,1
1,4,5,34,10,107,1,False,5,2024,6,True,1
2,6,8,42,8,959,4,False,6,2024,6,True,1
2,6,7,47,6,481,6,True,7,2024,6,False,1
2,3,7,10,10,65,1,False,8,2024,6,True,1
2,9,6,45,9,411,3,True,9,2024,6,False,1
2,7,3,30,10,138,2,False,10,2024,6,True,1
2,1,5,11,4,952,5,False,11,2024,6,True,1
2,7,1,34,8,550,3,False,12,2024,6,True,1
2,5,7,21,10,466,1,True,13,2024,6,False,1
1,5,9,13,3,751,1,False,14,2024,6,False,1
2,2,1,25,3,961,3,True,15,2024,6,False,1
2,4,2,21,8,764,2,True,16,2024,6,False,1
2,6,3,1,5,625,4,True,17,2024,6,False,0
2,10,3,5,3,986,5,False,18,2024,6,True,0
2,7,8,22,10,782,3,False,19,2024,6,True,1
2,5,7,7,1,781,2,True,20,2024,6,False,1
1,9,6,13,3,813,4,False,21,2024,6,True,1
2,3,10,45,9,763,1,True,22,2024,6,False,2
1,1,10,23,5,65,4,False,23,2024,6,True,2
0,4,4,21,10,905,2,True,24,2024,6,False,2
1,9,9,6,2,527,3,False,25,2024,6,True,1
2,4,1,20,7,577,3,True,26,2024,6,False,1
0,2,2,12,2,990,1,False,27,2024,6,False,1
2,10,4,40,4,545,2,True,28,2024,6,False,0
2,5,3,9,7,616,2,True,29,2024,6,False,1
1,3,1,28,4,850,4,True,30,2024,6,False,1
2,9,5,11,7,859,3,False,1,2024,7,False,0
2,4,7,32,7,22,2,False,2,2024,7,False,1
2,6,2,11,1,47,2,True,3,2024,7,False,0
2,2,5,24,6,400,3,False,4,2024,7,True,1
2,6,6,15,9,176,2,False,5,2024,7,False,1
2,3,7,41,2,874,3,False,6,2024,7,True,1
0,9,1,35,3,933,4,False,7,2024,7,True,1
0,2,7,17,10,950,2,True,8,2024,7,False,2
1,9,4,25,5,530,2,True,9,2024,7,False,1
2,5,8,35,9,352,1,False,10,2024,7,False,1
2,8,4,19,4,863,3,False,11,2024,7,False,0
0,2,6,41,1,706,3,False,12,2024,7,True,2
1,6,9,31,4,133,3,True,13,2024,7,False,1
2,3,5,17,6,408,4,True,14,2024,7,False,1
2,10,4,23,5,506,3,False,15,2024,7,True,0
2,5,8,47,1,862,2,False,16,2024,7,False,1
2,8,9,1,4,269,3,False,17,2024,7,False,0
2,10,4,10,6,590,4,False,18,2024,7,True,0
1,1,3,8,10,734,6,False,19,2024,7,True,2
2,5,8,42,10,334,3,True,20,2024,7,False,1
2,3,5,26,4,258,3,True,21,2024,7,False,1
2,4,2,34,9,253,3,False,22,2024,7,False,1
2,2,10,19,5,322,3,False,23,2024,7,True,1
2,9,9,14,8,626,5,True,24,2024,7,False,1
2,3,3,8,9,672,4,True,25,2024,7,False,1
2,2,2,1,10,353,1,False,26,2024,7,True,1
1,10,1,48,5,132,3,True,27,2024,7,False,1
2,9,8,25,6,640,4,True,28,2024,7,False,1
2,7,3,24,1,381,2,False,29,2024,7,True,0
2,6,7,47,7,876,2,False,30,2024,7,True,1
1,1,1,20,4,820,1,False,31,2024,7,True,1
2,5,1,30,2,116,4,True,1,2024,8,False,0
1,3,9,5,5,977,1,False,2,2024,8,True,1
2,1,8,3,3,866,3,True,3,2024,8,False,1
1,4,3,32,6,35,2,True,4,2024,8,False,1
1,2,6,17,8,575,0,False,5,2024,8,True,1
2,2,3,42,7,973,1,False,6,2024,8,True,1
2,3,4,5,3,395,1,False,7,2024,8,False,0
2,8,1,11,8,761,3,False,8,2024,8,True,0
1,8,5,38,2,409,3,False,9,2024,8,True,1
2,7,1,4,10,639,4,True,10,2024,8,False,0
2,6,1,39,9,236,3,True,11,2024,8,False,1
1,9,10,19,4,418,3,True,12,2024,8,False,1
1,4,7,39,1,279,4,True,13,2024,8,False,1
2,1,6,46,8,843,4,False,14,2024,8,False,2
2,8,2,23,7,339,3,True,15,2024,8,False,0
2,7,2,17,5,215,1,False,16,2024,8,False,0
2,7,7,13,10,497,2,False,17,2024,8,True,1
2,3,1,27,5,437,0,False,18,2024,8,True,1
2,4,2,1,7,494,3,False,19,2024,8,True,0
2,10,8,2,5,626,3,False,20,2024,8,True,0
1,9,6,18,8,587,1,False,21,2024,8,True,1
2,6,2,36,6,563,2,True,22,2024,8,False,1
2,5,7,45,5,250,4,False,23,2024,8,True,1
2,3,4,33,9,903,2,True,24,2024,8,False,1
2,9,2,36,2,540,5,True,25,2024,8,False,0
2,5,6,2,1,722,4,False,26,2024,8,True,0
2,5,9,4,8,892,3,True,27,2024,8,False,1
1,4,9,16,3,219,3,False,28,2024,8,False,1
2,4,8,4,7,865,4,False,29,2024,8,False,1
2,1,3,9,10,692,3,False,30,2024,8,False,1
0,7,3,21,8,618,2,True,31,2024,8,False,1
2,9,2,23,6,40,6,True,1,2024,9,False,0
1,3,5,2,10,330,1,False,2,2024,9,False,1
2,2,4,3,9,607,3,True,3,2024,9,False,1
1,3,7,23,7,972,2,False,4,2024,9,False,2
2,1,4,26,10,917,4,False,5,2024,9,False,1
1,6,9,47,5,672,2,False,6,2024,9,False,2
1,7,2,7,8,657,3,True,7,2024,9,False,1
2,2,6,36,2,782,2,True,8,2024,9,False,1
2,8,7,44,7,919,2,False,9,2024,9,False,1
1,6,4,33,4,615,3,True,10,2024,9,False,1
2,4,6,36,9,453,3,True,11,2024,9,False,1
2,5,7,4,1,390,4,False,12,2024,9,True,0
2,8,4,23,7,579,4,False,13,2024,9,False,1
1,3,8,25,6,910,2,False,14,2024,9,True,2
2,3,9,41,8,97,2,False,15,2024,9,True,1
2,4,1,26,5,561,4,True,16,2024,9,False,1
2,1,7,28,1,304,2,False,17,2024,9,True,1
1,9,9,28,1,667,2,False,18,2024,9,False,1
0,8,10,21,9,159,8,True,19,2024,9,False,2
0,8,5,10,10,572,3,False,20,2024,9,True,1
2,10,2,27,6,301,3,False,21,2024,9,False,0
1,6,10,15,10,581,4,False,22,2024,9,True,2
2,7,6,17,5,277,1,False,23,2024,9,True,0
2,6,7,39,1,842,4,False,24,2024,9,True,1
2,9,2,35,6,379,4,True,25,2024,9,False,0
2,3,2,5,6,459,4,True,26,2024,9,False,1
0,3,10,16,3,289,3,False,27,2024,9,False,2
2,3,10,23,8,153,3,False,28,2024,9,False,1
2,10,1,39,1,765,2,False,29,2024,9,False,0
1,3,4,48,1,659,2,False,30,2024,9,False,1
1,9,7,9,6,123,2,False,1,2024,10,True,1
2,4,9,33,10,785,2,False,2,2024,10,True,2
2,7,3,35,1,114,3,False,3,2024,10,True,0
1,9,7,40,6,868,0,False,4,2024,10,True,1
2,7,7,24,1,748,4,False,5,2024,10,True,1
2,9,7,24,6,592,3,False,6,2024,10,True,1
2,3,2,24,3,499,6,False,7,2024,10,False,1
2,4,6,19,8,799,4,True,8,2024,10,False,1
1,8,2,39,6,260,1,True,9,2024,10,False,1
2,6,6,25,1,32,4,True,10,2024,10,False,0
2,5,10,31,5,166,6,False,11,2024,10,True,1
2,4,3,38,8,959,3,True,12,2024,10,False,1
2,8,2,25,3,771,2,False,13,2024,10,True,0
2,1,6,27,6,620,1,False,14,2024,10,True,1
2,9,2,32,5,114,4,True,15,2024,10,False,0
2,1,5,11,6,846,4,False,16,2024,10,True,1
2,8,2,5,10,312,3,True,17,2024,10,False,0
2,4,3,44,1,44,2,True,18,2024,10,False,1
2,9,3,33,7,291,4,False,19,2024,10,False,0
2,5,6,19,9,524,6,True,20,2024,10,False,1
2,3,6,43,2,185,3,True,21,2024,10,False,1
0,9,10,47,10,958,2,False,22,2024,10,True,2
2,9,3,16,5,781,5,False,23,2024,10,True,0
2,4,3,35,10,106,1,True,24,2024,10,False,1
2,4,1,11,4,673,1,False,25,2024,10,True,0
0,8,7,11,6,665,1,True,26,2024,10,False,1
2,2,8,10,6,810,1,True,27,2024,10,False,1
1,9,2,34,2,657,2,False,28,2024,10,True,1
2,6,4,5,2,847,3,False,29,2024,10,True,0
0,9,10,23,4,510,1,False,30,2024,10,True,1
1,8,7,25,1,927,1,False,31,2024,10,True,1
2,7,8,29,9,160,2,False,1,2024,11,False,1
2,1,1,40,7,887,3,False,2,2024,11,True,1
2,3,4,13,7,122,5,True,3,2024,11,False,1
2,2,6,47,3,245,4,False,4,2024,11,True,1
2,5,3,32,3,921,3,True,5,2024,11,False,1
2,5,5,34,1,594,1,True,6,2024,11,False,1
2,5,10,12,3,313,2,True,7,2024,11,False,1
2,4,9,24,3,915,0,True,8,2024,11,False,1
2,5,3,40,4,325,2,False,9,2024,11,False,1
2,3,5,21,4,273,2,False,10,2024,11,False,1
2,1,8,29,3,199,5,False,11,2024,11,True,1
0,5,6,23,10,59,3,True,12,2024,11,False,2
2,9,4,33,8,795,2,True,13,2024,11,False,1
1,9,8,8,8,720,4,True,14,2024,11,False,1
2,4,3,42,1,539,5,True,15,2024,11,False,1
2,3,3,13,7,635,3,False,16,2024,11,True,1
2,1,4,5,2,756,2,False,17,2024,11,True,1
2,2,9,41,1,565,0,False,18,2024,11,True,1
1,8,5,10,3,255,3,True,19,2024,11,False,0
2,1,8,14,4,482,1,False,20,2024,11,False,1
2,8,6,24,6,247,6,False,21,2024,11,True,1
0,7,3,11,10,719,4,False,22,2024,11,True,1
2,8,8,46,5,844,3,False,23,2024,11,True,1
0,6,9,3,4,502,7,True,24,2024,11,False,1
0,9,8,29,8,449,4,True,25,2024,11,False,2
2,3,4,48,4,41,3,True,26,2024,11,False,1
2,10,6,30,10,362,1,False,27,2024,11,True,1
2,4,1,37,2,59,2,True,28,2024,11,False,0
2,6,4,7,3,192,1,True,29,2024,11,False,0
2,8,8,17,6,458,4,True,30,2024,11,False,1
0,5,1,20,8,198,2,True,1,2024,12,False,1
1,3,3,11,8,617,1,False,2,2024,12,False,1
2,6,1,44,9,152,2,False,3,2024,12,True,1
2,4,9,25,7,370,1,False,4,2024,12,True,1
2,9,2,24,2,544,3,True,5,2024,12,False,0
2,3,9,2,8,559,1,False,6,2024,12,True,1
1,4,4,27,7,525,3,False,7,2024,12,True,1
2,7,2,19,8,103,3,True,8,2024,12,False,0
2,7,4,29,3,483,1,True,9,2024,12,False,0
2,4,10,37,7,849,2,True,10,2024,12,False,2
1,6,6,11,10,880,3,False,11,2024,12,True,1
2,3,7,19,9,362,6,False,12,2024,12,True,1
1,6,3,28,3,299,3,True,13,2024,12,False,1
2,2,3,39,10,885,5,True,14,2024,12,False,2
1,8,10,21,6,282,1,False,15,2024,12,True,1
2,2,8,26,2,185,2,False,16,2024,12,True,1
2,7,5,22,2,312,3,False,17,2024,12,False,0
1,9,4,6,5,528,3,False,18,2024,12,True,0
2,1,7,11,5,599,1,True,19,2024,12,False,1
2,8,7,14,7,245,3,True,20,2024,12,False,1
2,7,9,36,2,189,3,False,21,2024,12,True,1
1,6,9,40,7,617,1,True,22,2024,12,False,2
0,6,5,41,5,664,3,False,23,2024,12,True,2
2,6,8,2,6,467,2,False,24,2024,12,False,1
2,9,10,43,8,709,4,False,25,2024,12,True,1
1,2,1,20,10,874,4,True,26,2024,12,False,1
2,1,9,22,4,521,3,False,27,2024,12,True,1
0,6,8,39,7,783,4,False,28,2024,12,True,2
2,10,6,4,6,546,5,False,29,2024,12,True,0
0,8,3,29,10,754,3,False,30,2024,12,False,1
1,3,3,46,2,398,2,True,31,2024,12,False,1
1,10,8,24,8,220,6,False,1,2025,1,False,1
2,1,5,1,10,638,2,False,2,2025,1,False,1
2,9,10,24,9,269,2,True,3,2025,1,False,1
2,1,7,30,5,968,4,True,4,2025,1,False,2
2,3,5,12,10,428,1,True,5,2025,1,False,1
2,8,8,19,4,620,0,True,6,2025,1,False,1
2,3,10,37,6,144,4,True,7,2025,1,False,1
1,4,10,40,8,132,4,False,8,2025,1,True,2
2,8,4,43,3,1000,2,True,9,2025,1,False,1
2,1,2,4,10,156,0,True,10,2025,1,False,1
2,6,3,15,1,778,3,False,11,2025,1,False,0
2,1,8,20,4,515,6,True,12,2025,1,False,1
2,1,7,44,4,697,4,False,13,2025,1,False,2
2,8,2,20,1,169,3,True,14,2025,1,False,0
1,4,6,21,9,894,1,True,15,2025,1,False,1
2,1,9,10,3,362,4,False,16,2025,1,True,1
2,10,4,30,5,964,4,False,17,2025,1,True,1
2,7,9,24,6,599,2,False,18,2025,1,False,1
1,5,2,48,8,752,7,False,19,2025,1,True,2
2,5,2,40,6,802,2,False,20,2025,1,False,1
1,1,9,40,3,340,4,True,21,2025,1,False,2
2,10,7,38,6,841,1,True,22,2025,1,False,1
1,6,7,3,1,945,3,False,23,2025,1,True,1
2,9,1,29,4,880,0,False,24,2025,1,False,0
2,9,6,8,6,551,1,False,25,2025,1,False,0
2,8,7,29,7,308,3,True,26,2025,1,False,1
2,5,6,10,10,508,2,True,27,2025,1,False,1
2,1,6,5,3,511,2,False,28,2025,1,True,1
1,9,2,11,9,631,2,True,29,2025,1,False,1
2,1,6,4,7,271,4,False,30,2025,1,False,1
0,8,4,35,1,96,2,False,31,2025,1,False,1
1,5,9,40,2,666,3,True,1,2025,2,False,1
2,3,1,12,1,411,4,False,2,2025,2,True,0
1,7,8,21,9,431,3,False,3,2025,2,True,1
2,7,5,16,9,192,5,True,4,2025,2,False,1
2,9,1,14,7,894,1,False,5,2025,2,False,0
0,7,4,21,10,220,6,False,6,2025,2,True,1
2,3,1,48,3,236,3,False,7,2025,2,False,1
2,1,6,27,5,395,4,True,8,2025,2,False,1
2,8,2,36,4,739,4,False,9,2025,2,False,1
2,3,5,1,7,605,4,True,10,2025,2,False,1
0,8,7,1,9,30,2,True,11,2025,2,False,1
2,8,2,22,2,818,6,False,12,2025,2,False,0
2,5,6,15,8,787,1,True,13,2025,2,False,1
2,1,6,20,9,31,6,True,14,2025,2,False,1
2,10,5,3,10,911,3,False,15,2025,2,False,0
2,7,5,14,10,609,3,False,16,2025,2,False,1
2,10,3,9,9,454,2,False,17,2025,2,True,0
2,5,10,19,10,703,3,False,18,2025,2,True,1
2,8,10,40,7,627,5,True,19,2025,2,False,1
0,9,2,34,9,837,4,True,20,2025,2,False,1
2,7,7,4,9,392,4,True,21,2025,2,False,1
1,7,1,33,3,292,2,False,22,2025,2,True,1
1,1,6,43,4,950,4,False,23,2025,2,True,2
1,4,6,37,2,916,5,False,24,2025,2,True,1
1,2,3,2,10,944,3,False,25,2025,2,True,1
2,2,2,27,3,710,5,True,26,2025,2,False,1
2,2,2,45,5,595,1,False,27,2025,2,True,1
2,4,9,17,5,528,4,True,28,2025,2,False,1
2,1,5,31,6,151,3,False,1,2025,3,True,1
1,4,7,41,7,874,6,True,2,2025,3,False,2
2,2,5,6,7,943,4,False,3,2025,3,False,1
1,5,7,31,1,803,3,True,4,2025,3,False,1
2,3,4,3,2,338,2,True,5,2025,3,False,0
0,8,8,40,9,863,3,True,6,2025,3,False,2
2,4,10,3,10,968,3,False,7,2025,3,True,1
2,1,10,33,2,872,1,False,8,2025,3,True,1
2,1,7,13,6,640,2,True,9,2025,3,False,1
1,10,10,21,1,804,3,True,10,2025,3,False,1
2,3,5,37,3,187,4,False,11,2025,3,True,1
0,9,6,16,2,416,3,True,12,2025,3,False,1
0,7,5,21,3,199,1,False,13,2025,3,False,1
1,2,7,48,5,77,1,False,14,2025,3,True,2
2,9,2,44,10,499,1,True,15,2025,3,False,1
1,10,5,13,6,952,4,True,16,2025,3,False,1
1,2,10,4,9,610,2,False,17,2025,3,False,2
2,3,3,31,10,479,4,True,18,2025,3,False,1
2,10,9,9,4,80,2,True,19,2025,3,False,0
2,2,6,48,7,388,3,False,20,2025,3,False,1
2,3,10,33,6,140,5,False,21,2025,3,False,1
2,6,3,37,2,738,4,False,22,2025,3,False,1
0,9,7,37,10,565,3,False,23,2025,3,True,2
2,9,4,24,8,601,1,True,24,2025,3,False,0
2,7,3,25,7,36,4,True,25,2025,3,False,0
0,3,8,41,7,515,4,False,26,2025,3,True,2
2,4,4,29,8,516,3,False,27,2025,3,True,1
1,6,1,40,1,524,4,True,28,2025,3,False,1
2,5,6,47,1,551,4,False,29,2025,3,False,1
2,2,10,36,8,988,3,True,30,2025,3,False,2
2,6,1,15,4,334,1,False,31,2025,3,True,0
2,3,5,45,5,88,1,True,1,2025,4,False,1
2,8,7,18,8,746,4,False,2,2025,4,True,1
1,2,6,20,5,180,4,True,3,2025,4,False,1
2,1,2,5,10,633,3,True,4,2025,4,False,1
1,9,4,18,4,907,2,True,5,2025,4,False,1
2,3,2,40,6,737,3,False,6,2025,4,True,1
2,1,1,1,5,164,3,False,7,2025,4,True,0
2,7,3,19,7,588,4,False,8,2025,4,True,1
2,10,3,23,10,614,3,False,9,2025,4,False,0
1,5,7,26,7,404,0,True,10,2025,4,False,1
0,5,1,29,4,288,5,True,11,2025,4,False,1
1,1,9,34,5,942,2,False,12,2025,4,False,2
2,9,6,19,3,473,2,True,13,2025,4,False,0
2,7,4,48,4,718,3,False,14,2025,4,False,1
2,8,3,18,4,537,2,True,15,2025,4,False,0
1,9,3,2,3,884,2,False,16,2025,4,False,0
2,6,2,27,10,369,2,True,17,2025,4,False,1
2,5,2,6,5,129,1,False,18,2025,4,False,0
2,6,10,39,5,502,3,False,19,2025,4,True,1
2,2,5,6,7,426,4,False,20,2025,4,False,1
2,4,9,6,4,669,1,True,21,2025,4,False,1
2,3,2,31,4,70,2,False,22,2025,4,True,1
1,7,2,41,9,422,3,False,23,2025,4,False,1
0,9,6,40,6,582,2,False,24,2025,4,True,1
2,5,10,30,4,495,4,False,25,2025,4,True,1
2,6,2,21,2,106,0,False,26,2025,4,True,0
2,10,4,41,6,87,4,False,27,2025,4,True,0
0,2,6,44,2,615,2,False,28,2025,4,True,2
0,3,5,18,5,998,7,False,29,2025,4,True,2
0,3,1,23,6,61,4,False,30,2025,4,False,1
1,9,6,38,4,750,2,True,1,2025,5,False,1
2,7,1,23,3,76,2,True,2,2025,5,False,0
1,8,3,28,7,757,6,False,3,2025,5,False,1
2,10,10,36,2,215,2,False,4,2025,5,False,1
2,9,5,25,6,779,8,False,5,2025,5,True,1
1,6,10,7,4,697,3,False,6,2025,5,True,1
2,4,5,18,6,81,2,True,7,2025,5,False,1
2,1,10,20,4,282,2,True,8,2025,5,False,1
2,8,6,5,4,131,4,False,9,2025,5,True,0
2,7,10,18,4,784,4,True,10,2025,5,False,1
1,2,8,42,9,730,6,False,11,2025,5,True,2
2,8,5,40,7,197,4,True,12,2025,5,False,1
2,5,1,33,3,967,4,False,13,2025,5,False,1
2,7,5,15,3,45,5,False,14,2025,5,False,0
2,4,3,35,6,429,3,False,15,2025,5,True,1
2,5,4,47,6,777,2,False,16,2025,5,True,1
2,8,8,46,4,550,3,True,17,2025,5,False,1
2,1,7,1,9,796,2,False,18,2025,5,False,1
1,1,5,21,4,336,2,False,19,2025,5,True,1
0,4,2,8,9,551,8,True,20,2025,5,False,1
2,3,6,7,4,125,2,False,21,2025,5,False,1
2,10,6,41,2,768,4,False,22,2025,5,False,1
2,2,10,44,2,837,8,False,23,2025,5,False,2
1,3,10,40,5,483,5,False,24,2025,5,True,2
2,1,6,40,4,265,7,False,25,2025,5,True,1
1,1,9,30,7,100,3,True,26,2025,5,False,2
