facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,inspection_date,risk_level
F0031,Semi-Urban,8,1,7,Available,883,2,33,2024-01-31,Medium
F0032,Urban,9,8,2,Limited,205,3,46,2024-02-01,Medium
F0033,Urban,5,10,1,Limited,280,5,4,2024-02-02,Medium
F0034,Rural,10,8,8,Unavailable,547,8,30,2024-02-03,High
F0035,Rural,5,2,8,Limited,292,3,41,2024-02-04,Medium
F0036,Rural,2,7,7,Available,179,3,17,2024-02-05,Medium
F0037,Urban,5,8,8,Available,889,5,3,2024-02-06,Medium
F0038,Urban,3,8,3,Available,781,2,13,2024-02-07,Medium
F0039,Semi-Urban,7,10,2,Available,243,4,44,2024-02-08,Medium
F0040,Urban,10,7,7,Available,275,3,48,2024-02-09,Medium
F0041,Urban,5,5,8,Limited,199,5,36,2024-02-10,Medium
F0042,Semi-Urban,8,1,1,Available,39,4,18,2024-02-11,Low
F0043,Urban,1,9,10,Available,643,4,23,2024-02-12,High
F0044,Rural,3,7,9,Available,651,2,35,2024-02-13,Medium
F0045,Urban,3,2,4,Unavailable,725,4,33,2024-02-14,High
F0046,Semi-Urban,9,6,4,Available,487,5,36,2024-02-15,Medium
F0047,Urban,5,2,3,Limited,642,3,17,2024-02-16,Medium
F0048,Semi-Urban,9,1,6,Limited,229,0,39,2024-02-17,Medium
F0049,Semi-Urban,9,7,1,Unavailable,532,3,34,2024-02-18,Medium
F0050,Urban,1,2,6,Limited,77,6,12,2024-02-19,Medium
F0051,Rural,2,2,2,Limited,112,5,5,2024-02-20,Medium
F0052,Semi-Urban,5,5,9,Available,240,3,48,2024-02-21,Medium
F0053,Rural,4,5,2,Available,742,1,40,2024-02-22,Medium
F0054,Rural,10,7,7,Available,959,6,27,2024-02-23,Medium
F0055,Semi-Urban,9,1,1,Available,251,3,40,2024-02-24,Low
F0056,Rural,7,8,7,Unavailable,793,2,13,2024-02-25,Medium
F0057,Urban,6,3,5,Available,383,3,26,2024-02-26,Medium
F0058,Urban,7,4,8,Limited,634,6,14,2024-02-27,Medium
F0059,Urban,1,9,4,Available,581,1,32,2024-02-28,Medium
F0060,Urban,1,4,10,Available,393,3,11,2024-02-29,Medium
F0061,Urban,8,10,7,Unavailable,641,1,38,2024-03-01,High
F0062,Urban,2,5,6,Available,475,4,16,2024-03-02,Medium
F0063,Rural,10,7,5,Available,107,1,22,2024-03-03,Low
F0064,Urban,9,4,4,Available,39,2,47,2024-03-04,Low
F0065,Urban,7,1,7,Available,33,5,16,2024-03-05,Low
F0066,Semi-Urban,6,9,5,Available,152,2,13,2024-03-06,Medium
F0067,Urban,1,4,5,Available,956,3,12,2024-03-07,Medium
F0068,Rural,1,9,1,Available,827,4,18,2024-03-08,Medium
F0069,Urban,2,6,2,Limited,53,3,29,2024-03-09,Medium
F0070,Rural,6,1,5,Limited,911,6,18,2024-03-10,Medium
F0071,Semi-Urban,6,3,3,Available,227,3,46,2024-03-11,Medium
F0072,Urban,2,2,2,Available,832,3,2,2024-03-12,Low
F0073,Urban,1,9,4,Limited,218,3,2,2024-03-13,Medium
F0074,Rural,10,1,4,Available,611,2,3,2024-03-14,Low
F0075,Semi-Urban,5,9,4,Available,602,3,29,2024-03-15,Medium
F0076,Semi-Urban,5,9,4,Available,174,4,8,2024-03-16,Medium
F0077,Semi-Urban,2,8,3,Limited,609,3,11,2024-03-17,Medium
F0078,Urban,6,8,7,Available,97,3,12,2024-03-18,Medium
F0079,Urban,9,1,9,Available,191,3,32,2024-03-19,Medium
F0080,Urban,2,8,5,Available,308,2,4,2024-03-20,Medium
F0081,Rural,10,10,4,Available,564,5,9,2024-03-21,Low
F0082,Semi-Urban,2,3,2,Available,831,4,24,2024-03-22,Medium
F0083,Urban,3,7,2,Available,807,0,16,2024-03-23,Medium
F0084,Urban,7,1,5,Limited,898,2,17,2024-03-24,Medium
F0085,Urban,6,1,7,Unavailable,439,5,47,2024-03-25,High
F0086,Urban,8,10,10,Available,26,3,22,2024-03-26,Medium
F0087,Semi-Urban,8,5,10,Available,179,1,7,2024-03-27,Low
F0088,Semi-Urban,6,5,9,Available,259,1,10,2024-03-28,Medium
F0089,Rural,10,8,7,Limited,982,2,29,2024-03-29,Medium
F0090,Semi-Urban,3,7,5,Limited,442,2,36,2024-03-30,Medium
F0091,Urban,3,8,10,Available,555,5,24,2024-03-31,High
F0092,Semi-Urban,1,6,10,Available,745,3,46,2024-04-01,High
F0093,Semi-Urban,7,6,10,Limited,89,7,14,2024-04-02,Medium
F0094,Semi-Urban,5,2,6,Available,899,5,14,2024-04-03,Medium
F0095,Semi-Urban,4,6,3,Available,235,3,25,2024-04-04,Medium
F0096,Semi-Urban,10,5,5,Available,123,6,46,2024-04-05,Medium
F0097,Semi-Urban,4,3,8,Available,746,4,22,2024-04-06,Medium
F0098,Urban,4,6,1,Available,73,2,47,2024-04-07,Medium
F0099,Urban,6,8,1,Limited,825,1,23,2024-04-08,Medium
F0100,Urban,8,9,7,Available,349,3,32,2024-04-09,Medium
F0101,Urban,8,1,5,Available,867,2,26,2024-04-10,Low
F0102,Semi-Urban,5,3,5,Available,222,4,27,2024-04-11,Medium
F0103,Urban,6,3,1,Available,307,6,45,2024-04-12,Medium
F0104,Semi-Urban,4,8,9,Available,64,2,12,2024-04-13,Medium
F0105,Rural,9,1,1,Available,848,3,19,2024-04-14,Low
F0106,Urban,8,5,5,Limited,217,2,19,2024-04-15,Medium
F0107,Urban,10,3,10,Available,235,6,34,2024-04-16,Medium
F0108,Semi-Urban,10,2,9,Available,500,1,32,2024-04-17,Medium
F0109,Urban,1,8,4,Available,328,8,29,2024-04-18,Medium
F0110,Urban,2,3,8,Available,915,3,21,2024-04-19,Medium
F0111,Urban,9,7,6,Limited,454,6,35,2024-04-20,Medium
F0112,Urban,8,1,3,Available,351,1,42,2024-04-21,Low
F0113,Rural,3,6,4,Unavailable,715,4,5,2024-04-22,Medium
F0114,Rural,8,3,2,Available,46,1,12,2024-04-23,Low
F0115,Semi-Urban,1,8,1,Limited,185,0,7,2024-04-24,Medium
F0116,Rural,10,6,8,Available,337,0,41,2024-04-25,Medium
F0117,Rural,4,2,1,Available,293,4,2,2024-04-26,Low
F0118,Urban,3,6,1,Available,402,4,25,2024-04-27,Medium
F0119,Rural,6,7,4,Available,384,4,10,2024-04-28,Medium
F0120,Semi-Urban,7,5,10,Limited,122,2,38,2024-04-29,Medium
F0121,Rural,4,3,10,Limited,979,3,44,2024-04-30,High
F0122,Rural,7,4,6,Available,522,3,6,2024-05-01,Low
F0123,Urban,9,4,9,Available,864,4,27,2024-05-02,Medium
F0124,Urban,2,6,1,Available,392,7,35,2024-05-03,Medium
F0125,Urban,3,10,7,Limited,635,0,10,2024-05-04,Medium
F0126,Urban,5,1,10,Available,945,3,9,2024-05-05,Medium
F0127,Rural,3,4,5,Available,264,4,20,2024-05-06,Medium
F0128,Rural,8,10,8,Available,836,4,37,2024-05-07,Medium
F0129,Urban,10,4,7,Limited,188,3,35,2024-05-08,Medium
F0130,Semi-Urban,8,10,4,Available,647,3,37,2024-05-09,Medium
F0131,Urban,8,1,4,Limited,672,3,40,2024-05-10,Medium
F0132,Urban,9,9,6,Limited,437,2,8,2024-05-11,Medium
F0133,Urban,4,4,6,Available,375,2,46,2024-05-12,Medium
F0134,Urban,5,7,9,Available,497,4,31,2024-05-13,Medium
F0135,Rural,5,3,5,Limited,144,2,43,2024-05-14,Medium
F0136,Urban,8,10,8,Available,556,4,16,2024-05-15,Medium
F0137,Semi-Urban,7,3,5,Unavailable,725,4,28,2024-05-16,Medium
F0138,Semi-Urban,9,8,2,Available,915,4,6,2024-05-17,Low
F0139,Urban,8,8,6,Available,631,4,32,2024-05-18,Medium
F0140,Rural,2,1,9,Unavailable,421,4,28,2024-05-19,High
F0141,Rural,10,10,3,Available,536,2,11,2024-05-20,Low
F0142,Urban,4,2,1,Available,550,2,42,2024-05-21,Medium
F0143,Semi-Urban,6,8,1,Limited,701,4,23,2024-05-22,Medium
F0144,Urban,2,1,3,Available,805,4,30,2024-05-23,Medium
F0145,Urban,7,8,10,Available,273,7,9,2024-05-24,Medium
F0146,Urban,3,8,5,Available,140,3,28,2024-05-25,Medium
F0147,Semi-Urban,3,2,3,Limited,51,2,24,2024-05-26,Medium
F0148,Semi-Urban,2,4,9,Limited,680,2,28,2024-05-27,High
F0149,Urban,8,6,8,Available,797,1,24,2024-05-28,Medium
F0150,Urban,6,9,3,Limited,56,0,15,2024-05-29,Medium
F0151,Rural,1,8,9,Limited,708,3,39,2024-05-30,High
F0152,Urban,1,8,6,Available,361,2,33,2024-05-31,Medium
F0153,Urban,7,7,7,Available,32,2,47,2024-06-01,Medium
F0154,Semi-Urban,8,9,4,Available,202,1,34,2024-06-02,Medium
F0155,Rural,5,2,4,Available,676,0,22,2024-06-03,Low
F0156,Urban,5,3,2,Limited,284,4,29,2024-06-04,Medium
F0157,Semi-Urban,4,10,5,Limited,107,1,34,2024-06-05,Medium
F0158,Semi-Urban,6,8,8,Available,959,4,42,2024-06-06,Medium
F0159,Urban,6,6,7,Available,481,6,47,2024-06-07,Medium
F0160,Semi-Urban,3,10,7,Available,65,1,10,2024-06-08,Medium
F0161,Urban,9,9,6,Available,411,3,45,2024-06-09,Medium
F0162,Semi-Urban,7,10,3,Available,138,2,30,2024-06-10,Medium
F0163,Semi-Urban,1,4,5,Available,952,5,11,2024-06-11,Medium
F0164,Semi-Urban,7,8,1,Available,550,3,34,2024-06-12,Medium
F0165,Urban,5,10,7,Available,466,1,21,2024-06-13,Medium
F0166,Rural,5,3,9,Limited,751,1,13,2024-06-14,Medium
F0167,Urban,2,3,1,Available,961,3,25,2024-06-15,Medium
F0168,Urban,4,8,2,Available,764,2,21,2024-06-16,Medium
F0169,Urban,6,5,3,Available,625,4,1,2024-06-17,Low
F0170,Semi-Urban,10,3,3,Available,986,5,5,2024-06-18,Low
F0171,Semi-Urban,7,10,8,Available,782,3,22,2024-06-19,Medium
F0172,Urban,5,1,7,Available,781,2,7,2024-06-20,Medium
F0173,Semi-Urban,9,3,6,Limited,813,4,13,2024-06-21,Medium
F0174,Urban,3,9,10,Available,763,1,45,2024-06-22,High
F0175,Semi-Urban,1,5,10,Limited,65,4,23,2024-06-23,High
F0176,Urban,4,10,4,Unavailable,905,2,21,2024-06-24,High
F0177,Semi-Urban,9,2,9,Limited,527,3,6,2024-06-25,Medium
F0178,Urban,4,7,1,Available,577,3,20,2024-06-26,Medium
F0179,Rural,2,2,2,Unavailable,990,1,12,2024-06-27,Medium
F0180,Urban,10,4,4,Available,545,2,40,2024-06-28,Low
F0181,Urban,5,7,3,Available,616,2,9,2024-06-29,Medium
F0182,Urban,3,4,1,Limited,850,4,28,2024-06-30,Medium
F0183,Rural,9,7,5,Available,859,3,11,2024-07-01,Low
F0184,Rural,4,7,7,Available,22,2,32,2024-07-02,Medium
F0185,Urban,6,1,2,Available,47,2,11,2024-07-03,Low
F0186,Semi-Urban,2,6,5,Available,400,3,24,2024-07-04,Medium
F0187,Rural,6,9,6,Available,176,2,15,2024-07-05,Medium
F0188,Semi-Urban,3,2,7,Available,874,3,41,2024-07-06,Medium
F0189,Semi-Urban,9,3,1,Unavailable,933,4,35,2024-07-07,Medium
F0190,Urban,2,10,7,Unavailable,950,2,17,2024-07-08,High
F0191,Urban,9,5,4,Limited,530,2,25,2024-07-09,Medium
F0192,Rural,5,9,8,Available,352,1,35,2024-07-10,Medium
F0193,Rural,8,4,4,Available,863,3,19,2024-07-11,Low
F0194,Semi-Urban,2,1,6,Unavailable,706,3,41,2024-07-12,High
F0195,Urban,6,4,9,Limited,133,3,31,2024-07-13,Medium
F0196,Urban,3,6,5,Available,408,4,17,2024-07-14,Medium
F0197,Semi-Urban,10,5,4,Available,506,3,23,2024-07-15,Low
F0198,Rural,5,1,8,Available,862,2,47,2024-07-16,Medium
F0199,Rural,8,4,9,Available,269,3,1,2024-07-17,Low
F0200,Semi-Urban,10,6,4,Available,590,4,10,2024-07-18,Low
F0201,Semi-Urban,1,10,3,Limited,734,6,8,2024-07-19,High
F0202,Urban,5,10,8,Available,334,3,42,2024-07-20,Medium
F0203,Urban,3,4,5,Available,258,3,26,2024-07-21,Medium
F0204,Rural,4,9,2,Available,253,3,34,2024-07-22,Medium
F0205,Semi-Urban,2,5,10,Available,322,3,19,2024-07-23,Medium
F0206,Urban,9,8,9,Available,626,5,14,2024-07-24,Medium
F0207,Urban,3,9,3,Available,672,4,8,2024-07-25,Medium
F0208,Semi-Urban,2,10,2,Available,353,1,1,2024-07-26,Medium
F0209,Urban,10,5,1,Limited,132,3,48,2024-07-27,Medium
F0210,Urban,9,6,8,Available,640,4,25,2024-07-28,Medium
F0211,Semi-Urban,7,1,3,Available,381,2,24,2024-07-29,Low
F0212,Semi-Urban,6,7,7,Available,876,2,47,2024-07-30,Medium
F0213,Semi-Urban,1,4,1,Limited,820,1,20,2024-07-31,Medium
F0214,Urban,5,2,1,Available,116,4,30,2024-08-01,Low
F0215,Semi-Urban,3,5,9,Limited,977,1,5,2024-08-02,Medium
F0216,Urban,1,3,8,Available,866,3,3,2024-08-03,Medium
F0217,Urban,4,6,3,Limited,35,2,32,2024-08-04,Medium
F0218,Semi-Urban,2,8,6,Limited,575,0,17,2024-08-05,Medium
F0219,Semi-Urban,2,7,3,Available,973,1,42,2024-08-06,Medium
F0220,Rural,3,3,4,Available,395,1,5,2024-08-07,Low
F0221,Semi-Urban,8,8,1,Available,761,3,11,2024-08-08,Low
F0222,Semi-Urban,8,2,5,Limited,409,3,38,2024-08-09,Medium
F0223,Urban,7,10,1,Available,639,4,4,2024-08-10,Low
F0224,Urban,6,9,1,Available,236,3,39,2024-08-11,Medium
F0225,Urban,9,4,10,Limited,418,3,19,2024-08-12,Medium
F0226,Urban,4,1,7,Limited,279,4,39,2024-08-13,Medium
F0227,Rural,1,8,6,Available,843,4,46,2024-08-14,High
F0228,Urban,8,7,2,Available,339,3,23,2024-08-15,Low
F0229,Rural,7,5,2,Available,215,1,17,2024-08-16,Low
F0230,Semi-Urban,7,10,7,Available,497,2,13,2024-08-17,Medium
F0231,Semi-Urban,3,5,1,Available,437,0,27,2024-08-18,Medium
F0232,Semi-Urban,4,7,2,Available,494,3,1,2024-08-19,Low
F0233,Semi-Urban,10,5,8,Available,626,3,2,2024-08-20,Low
F0234,Semi-Urban,9,8,6,Limited,587,1,18,2024-08-21,Medium
F0235,Urban,6,6,2,Available,563,2,36,2024-08-22,Medium
F0236,Semi-Urban,5,5,7,Available,250,4,45,2024-08-23,Medium
F0237,Urban,3,9,4,Available,903,2,33,2024-08-24,Medium
F0238,Urban,9,2,2,Available,540,5,36,2024-08-25,Low
F0239,Semi-Urban,5,1,6,Available,722,4,2,2024-08-26,Low
F0240,Urban,5,8,9,Available,892,3,4,2024-08-27,Medium
F0241,Rural,4,3,9,Limited,219,3,16,2024-08-28,Medium
F0242,Rural,4,7,8,Available,865,4,4,2024-08-29,Medium
F0243,Rural,1,10,3,Available,692,3,9,2024-08-30,Medium
F0244,Urban,7,8,3,Unavailable,618,2,21,2024-08-31,Medium
F0245,Urban,9,6,2,Available,40,6,23,2024-09-01,Low
F0246,Rural,3,10,5,Limited,330,1,2,2024-09-02,Medium
F0247,Urban,2,9,4,Available,607,3,3,2024-09-03,Medium
F0248,Rural,3,7,7,Limited,972,2,23,2024-09-04,High
F0249,Rural,1,10,4,Available,917,4,26,2024-09-05,Medium
F0250,Rural,6,5,9,Limited,672,2,47,2024-09-06,High
F0251,Urban,7,8,2,Limited,657,3,7,2024-09-07,Medium
F0252,Urban,2,2,6,Available,782,2,36,2024-09-08,Medium
F0253,Rural,8,7,7,Available,919,2,44,2024-09-09,Medium
F0254,Urban,6,4,4,Limited,615,3,33,2024-09-10,Medium
F0255,Urban,4,9,6,Available,453,3,36,2024-09-11,Medium
F0256,Semi-Urban,5,1,7,Available,390,4,4,2024-09-12,Low
F0257,Rural,8,7,4,Available,579,4,23,2024-09-13,Medium
F0258,Semi-Urban,3,6,8,Limited,910,2,25,2024-09-14,High
F0259,Semi-Urban,3,8,9,Available,97,2,41,2024-09-15,Medium
F0260,Urban,4,5,1,Available,561,4,26,2024-09-16,Medium
F0261,Semi-Urban,1,1,7,Available,304,2,28,2024-09-17,Medium
F0262,Rural,9,1,9,Limited,667,2,28,2024-09-18,Medium
F0263,Urban,8,9,10,Unavailable,159,8,21,2024-09-19,High
F0264,Semi-Urban,8,10,5,Unavailable,572,3,10,2024-09-20,Medium
F0265,Rural,10,6,2,Available,301,3,27,2024-09-21,Low
F0266,Semi-Urban,6,10,10,Limited,581,4,15,2024-09-22,High
F0267,Semi-Urban,7,5,6,Available,277,1,17,2024-09-23,Low
F0268,Semi-Urban,6,1,7,Available,842,4,39,2024-09-24,Medium
F0269,Urban,9,6,2,Available,379,4,35,2024-09-25,Low
F0270,Urban,3,6,2,Available,459,4,5,2024-09-26,Medium
F0271,Rural,3,3,10,Unavailable,289,3,16,2024-09-27,High
F0272,Rural,3,8,10,Available,153,3,23,2024-09-28,Medium
F0273,Rural,10,1,1,Available,765,2,39,2024-09-29,Low
F0274,Rural,3,1,4,Limited,659,2,48,2024-09-30,Medium
F0275,Semi-Urban,9,6,7,Limited,123,2,9,2024-10-01,Medium
F0276,Semi-Urban,4,10,9,Available,785,2,33,2024-10-02,High
F0277,Semi-Urban,7,1,3,Available,114,3,35,2024-10-03,Low
F0278,Semi-Urban,9,6,7,Limited,868,0,40,2024-10-04,Medium
F0279,Semi-Urban,7,1,7,Available,748,4,24,2024-10-05,Medium
F0280,Semi-Urban,9,6,7,Available,592,3,24,2024-10-06,Medium
F0281,Rural,3,3,2,Available,499,6,24,2024-10-07,Medium
F0282,Urban,4,8,6,Available,799,4,19,2024-10-08,Medium
F0283,Urban,8,6,2,Limited,260,1,39,2024-10-09,Medium
F0284,Urban,6,1,6,Available,32,4,25,2024-10-10,Low
F0285,Semi-Urban,5,5,10,Available,166,6,31,2024-10-11,Medium
F0286,Urban,4,8,3,Available,959,3,38,2024-10-12,Medium
F0287,Semi-Urban,8,3,2,Available,771,2,25,2024-10-13,Low
F0288,Semi-Urban,1,6,6,Available,620,1,27,2024-10-14,Medium
F0289,Urban,9,5,2,Available,114,4,32,2024-10-15,Low
F0290,Semi-Urban,1,6,5,Available,846,4,11,2024-10-16,Medium
F0291,Urban,8,10,2,Available,312,3,5,2024-10-17,Low
F0292,Urban,4,1,3,Available,44,2,44,2024-10-18,Medium
F0293,Rural,9,7,3,Available,291,4,33,2024-10-19,Low
F0294,Urban,5,9,6,Available,524,6,19,2024-10-20,Medium
F0295,Urban,3,2,6,Available,185,3,43,2024-10-21,Medium
F0296,Semi-Urban,9,10,10,Unavailable,958,2,47,2024-10-22,High
F0297,Semi-Urban,9,5,3,Available,781,5,16,2024-10-23,Low
F0298,Urban,4,10,3,Available,106,1,35,2024-10-24,Medium
F0299,Semi-Urban,4,4,1,Available,673,1,11,2024-10-25,Low
F0300,Urban,8,6,7,Unavailable,665,1,11,2024-10-26,Medium
F0301,Urban,2,6,8,Available,810,1,10,2024-10-27,Medium
F0302,Semi-Urban,9,2,2,Limited,657,2,34,2024-10-28,Medium
F0303,Semi-Urban,6,2,4,Available,847,3,5,2024-10-29,Low
F0304,Semi-Urban,9,4,10,Unavailable,510,1,23,2024-10-30,Medium
F0305,Semi-Urban,8,1,7,Limited,927,1,25,2024-10-31,Medium
F0306,Rural,7,9,8,Available,160,2,29,2024-11-01,Medium
F0307,Semi-Urban,1,7,1,Available,887,3,40,2024-11-02,Medium
F0308,Urban,3,7,4,Available,122,5,13,2024-11-03,Medium
F0309,Semi-Urban,2,3,6,Available,245,4,47,2024-11-04,Medium
F0310,Urban,5,3,3,Available,921,3,32,2024-11-05,Medium
F0311,Urban,5,1,5,Available,594,1,34,2024-11-06,Medium
F0312,Urban,5,3,10,Available,313,2,12,2024-11-07,Medium
F0313,Urban,4,3,9,Available,915,0,24,2024-11-08,Medium
F0314,Rural,5,4,3,Available,325,2,40,2024-11-09,Medium
F0315,Rural,3,4,5,Available,273,2,21,2024-11-10,Medium
F0316,Semi-Urban,1,3,8,Available,199,5,29,2024-11-11,Medium
F0317,Urban,5,10,6,Unavailable,59,3,23,2024-11-12,High
F0318,Urban,9,8,4,Available,795,2,33,2024-11-13,Medium
F0319,Urban,9,8,8,Limited,720,4,8,2024-11-14,Medium
F0320,Urban,4,1,3,Available,539,5,42,2024-11-15,Medium
F0321,Semi-Urban,3,7,3,Available,635,3,13,2024-11-16,Medium
F0322,Semi-Urban,1,2,4,Available,756,2,5,2024-11-17,Medium
F0323,Semi-Urban,2,1,9,Available,565,0,41,2024-11-18,Medium
F0324,Urban,8,3,5,Limited,255,3,10,2024-11-19,Low
F0325,Rural,1,4,8,Available,482,1,14,2024-11-20,Medium
F0326,Semi-Urban,8,6,6,Available,247,6,24,2024-11-21,Medium
F0327,Semi-Urban,7,10,3,Unavailable,719,4,11,2024-11-22,Medium
F0328,Semi-Urban,8,5,8,Available,844,3,46,2024-11-23,Medium
F0329,Urban,6,4,9,Unavailable,502,7,3,2024-11-24,Medium
F0330,Urban,9,8,8,Unavailable,449,4,29,2024-11-25,High
F0331,Urban,3,4,4,Available,41,3,48,2024-11-26,Medium
F0332,Semi-Urban,10,10,6,Available,362,1,30,2024-11-27,Medium
F0333,Urban,4,2,1,Available,59,2,37,2024-11-28,Low
F0334,Urban,6,3,4,Available,192,1,7,2024-11-29,Low
F0335,Urban,8,6,8,Available,458,4,17,2024-11-30,Medium
F0336,Urban,5,8,1,Unavailable,198,2,20,2024-12-01,Medium
F0337,Rural,3,8,3,Limited,617,1,11,2024-12-02,Medium
F0338,Semi-Urban,6,9,1,Available,152,2,44,2024-12-03,Medium
F0339,Semi-Urban,4,7,9,Available,370,1,25,2024-12-04,Medium
F0340,Urban,9,2,2,Available,544,3,24,2024-12-05,Low
F0341,Semi-Urban,3,8,9,Available,559,1,2,2024-12-06,Medium
F0342,Semi-Urban,4,7,4,Limited,525,3,27,2024-12-07,Medium
F0343,Urban,7,8,2,Available,103,3,19,2024-12-08,Low
F0344,Urban,7,3,4,Available,483,1,29,2024-12-09,Low
F0345,Urban,4,7,10,Available,849,2,37,2024-12-10,High
F0346,Semi-Urban,6,10,6,Limited,880,3,11,2024-12-11,Medium
F0347,Semi-Urban,3,9,7,Available,362,6,19,2024-12-12,Medium
F0348,Urban,6,3,3,Limited,299,3,28,2024-12-13,Medium
F0349,Urban,2,10,3,Available,885,5,39,2024-12-14,High
F0350,Semi-Urban,8,6,10,Limited,282,1,21,2024-12-15,Medium
F0351,Semi-Urban,2,2,8,Available,185,2,26,2024-12-16,Medium
F0352,Rural,7,2,5,Available,312,3,22,2024-12-17,Low
F0353,Semi-Urban,9,5,4,Limited,528,3,6,2024-12-18,Low
F0354,Urban,1,5,7,Available,599,1,11,2024-12-19,Medium
F0355,Urban,8,7,7,Available,245,3,14,2024-12-20,Medium
F0356,Semi-Urban,7,2,9,Available,189,3,36,2024-12-21,Medium
F0357,Urban,6,7,9,Limited,617,1,40,2024-12-22,High
F0358,Semi-Urban,6,5,5,Unavailable,664,3,41,2024-12-23,High
F0359,Rural,6,6,8,Available,467,2,2,2024-12-24,Medium
F0360,Semi-Urban,9,8,10,Available,709,4,43,2024-12-25,Medium
F0361,Urban,2,10,1,Limited,874,4,20,2024-12-26,Medium
F0362,Semi-Urban,1,4,9,Available,521,3,22,2024-12-27,Medium
F0363,Semi-Urban,6,7,8,Unavailable,783,4,39,2024-12-28,High
F0364,Semi-Urban,10,6,6,Available,546,5,4,2024-12-29,Low
F0365,Rural,8,10,3,Unavailable,754,3,29,2024-12-30,Medium
F0366,Urban,3,2,3,Limited,398,2,46,2024-12-31,Medium
F0367,Rural,10,8,8,Limited,220,6,24,2025-01-01,Medium
F0368,Rural,1,10,5,Available,638,2,1,2025-01-02,Medium
F0369,Urban,9,9,10,Available,269,2,24,2025-01-03,Medium
F0370,Urban,1,5,7,Available,968,4,30,2025-01-04,High
F0371,Urban,3,10,5,Available,428,1,12,2025-01-05,Medium
F0372,Urban,8,4,8,Available,620,0,19,2025-01-06,Medium
F0373,Urban,3,6,10,Available,144,4,37,2025-01-07,Medium
F0374,Semi-Urban,4,8,10,Limited,132,4,40,2025-01-08,High
F0375,Urban,8,3,4,Available,1000,2,43,2025-01-09,Medium
F0376,Urban,1,10,2,Available,156,0,4,2025-01-10,Medium
F0377,Rural,6,1,3,Available,778,3,15,2025-01-11,Low
F0378,Urban,1,4,8,Available,515,6,20,2025-01-12,Medium
F0379,Rural,1,4,7,Available,697,4,44,2025-01-13,High
F0380,Urban,8,1,2,Available,169,3,20,2025-01-14,Low
F0381,Urban,4,9,6,Limited,894,1,21,2025-01-15,Medium
F0382,Semi-Urban,1,3,9,Available,362,4,10,2025-01-16,Medium
F0383,Semi-Urban,10,5,4,Available,964,4,30,2025-01-17,Medium
F0384,Rural,7,6,9,Available,599,2,24,2025-01-18,Medium
F0385,Semi-Urban,5,8,2,Limited,752,7,48,2025-01-19,High
F0386,Rural,5,6,2,Available,802,2,40,2025-01-20,Medium
F0387,Urban,1,3,9,Limited,340,4,40,2025-01-21,High
F0388,Urban,10,6,7,Available,841,1,38,2025-01-22,Medium
F0389,Semi-Urban,6,1,7,Limited,945,3,3,2025-01-23,Medium
F0390,Rural,9,4,1,Available,880,0,29,2025-01-24,Low
F0391,Rural,9,6,6,Available,551,1,8,2025-01-25,Low
